,id,grid,start_hour,end_hour,duration,lon,lat,gps2id
235112,855D815DC19AA779325469411A9E7B8A,30251,2,6,4,109.50611,18.26653,1512
235113,855D815DC19AA779325469411A9E7B8A,38157,7,19,12,109.51483,18.26958,1563
235144,A5CE8EC163B2D3DFB2CA8F669B7180D4,38205,15,16,1,109.62743,18.23139,1956
235145,A5CE8EC163B2D3DFB2CA8F669B7180D4,31861,18,23,5,109.49042,18.27549,1464
235158,8621CFDF1B89A83351494618C53D033F,39181,0,5,5,109.55153,18.28035,1715
235159,8621CFDF1B89A83351494618C53D033F,31071,6,16,10,109.58257,18.28458,1815
235160,8621CFDF1B89A83351494618C53D033F,39181,16,20,4,109.55153,18.28035,1715
235218,BE7763F8096EB5A037146E1CC4190538,30854,0,5,5,109.56889,18.27076,1763
235219,BE7763F8096EB5A037146E1CC4190538,39183,7,18,11,109.55542,18.28208,1715
235220,BE7763F8096EB5A037146E1CC4190538,31071,19,20,1,109.58257,18.28458,1815
235235,C96547CFFA00338796E1443E47F99499,39321,14,16,2,109.529,18.2167,1604
235236,C96547CFFA00338796E1443E47F99499,38361,20,21,1,109.43667,18.29201,1267
235268,07E1A2BEF06E96D54732D75ED1E262EB,31471,15,16,1,109.34583,18.29563,917
235269,07E1A2BEF06E96D54732D75ED1E262EB,31554,21,23,2,109.55521,18.2459,1709
235278,AE1D2CB811A45E9D0BA691392CEA1100,31945,4,6,2,109.58021,18.29403,1817
235279,AE1D2CB811A45E9D0BA691392CEA1100,31071,9,22,13,109.58257,18.28458,1815
235316,5A01EB8FA74506E0F21D58D31F716299,30791,13,14,1,109.72333,18.40889,2386
235317,5A01EB8FA74506E0F21D58D31F716299,31461,18,19,1,109.5091,18.25389,1510
235318,5A01EB8FA74506E0F21D58D31F716299,39053,20,21,1,109.511,18.2771,1564
235389,B9910ED12590156FA874C8F711421C56,60084,0,2,2,109.4984,18.2334,1507
235390,B9910ED12590156FA874C8F711421C56,30051,2,5,3,109.48917,18.21215,1453
235391,B9910ED12590156FA874C8F711421C56,60381,9,10,1,109.5241,18.22458,1605
235392,B9910ED12590156FA874C8F711421C56,31145,13,14,1,109.20431,18.30479,369
235393,B9910ED12590156FA874C8F711421C56,30051,19,21,2,109.48917,18.21215,1453
235394,B9910ED12590156FA874C8F711421C56,60084,21,23,2,109.4984,18.2334,1507
235409,EB316856896788EC8FD871E122E95728,31811,1,4,3,109.54201,18.31806,1671
235410,EB316856896788EC8FD871E122E95728,30701,6,14,8,109.59313,18.32007,1871
235411,EB316856896788EC8FD871E122E95728,31811,14,18,4,109.54201,18.31806,1671
235412,EB316856896788EC8FD871E122E95728,30701,18,23,5,109.59313,18.32007,1871
235413,0EEF00D524FC221E0814F0ECEF97AD09,31351,12,14,2,109.4959,18.28417,1465
235415,0EEF00D524FC221E0814F0ECEF97AD09,31351,19,23,4,109.4959,18.28417,1465
235438,5F05A258CA919BA01045F79DD70FBCC9,30854,1,6,5,109.56889,18.27076,1763
235439,5F05A258CA919BA01045F79DD70FBCC9,31561,6,7,1,109.56792,18.28479,1765
235440,5F05A258CA919BA01045F79DD70FBCC9,39183,8,10,2,109.55542,18.28208,1715
235441,5F05A258CA919BA01045F79DD70FBCC9,30071,15,16,1,109.52819,18.30472,1619
235442,5F05A258CA919BA01045F79DD70FBCC9,31561,19,20,1,109.56792,18.28479,1765
235469,CD3BCBAB8571FB81953C842A434E5DB8,30854,6,10,4,109.56889,18.27076,1763
235470,CD3BCBAB8571FB81953C842A434E5DB8,31071,11,22,11,109.58257,18.28458,1815
235516,4B004637D3CFBCA65EA00FFD3F1EF7A6,31561,0,12,12,109.56792,18.28479,1765
235517,4B004637D3CFBCA65EA00FFD3F1EF7A6,30071,14,15,1,109.52819,18.30472,1619
235518,4B004637D3CFBCA65EA00FFD3F1EF7A6,31561,18,20,2,109.56792,18.28479,1765
235531,9DE8C13901CC7D63E2F1A6CC92603604,31071,1,2,1,109.58257,18.28458,1815
235532,9DE8C13901CC7D63E2F1A6CC92603604,30851,3,5,2,109.5616,18.27396,1713
235533,9DE8C13901CC7D63E2F1A6CC92603604,30854,8,20,12,109.56889,18.27076,1763
235587,E27729CF5C68766C958C34CEBE1241B2,39041,0,4,4,109.40021,18.29278,1117
235588,E27729CF5C68766C958C34CEBE1241B2,38903,5,6,1,109.39229,18.29243,1117
235589,E27729CF5C68766C958C34CEBE1241B2,30351,7,9,2,109.41701,18.29292,1217
235590,E27729CF5C68766C958C34CEBE1241B2,30351,16,17,1,109.41701,18.29292,1217
235591,E27729CF5C68766C958C34CEBE1241B2,30351,17,19,2,109.41701,18.29292,1217
235592,E27729CF5C68766C958C34CEBE1241B2,31236,19,22,3,109.42965,18.29111,1216
235605,C2C5F3D1EDFF2B77820D06649C507C1B,31021,8,13,5,109.49021,18.27,1463
235619,B164B8C0AEC0E295C9ED3DBE75B5D547,30391,1,7,6,109.4975,18.27118,1513
235620,B164B8C0AEC0E295C9ED3DBE75B5D547,31181,8,9,1,109.50382,18.24813,1509
235621,B164B8C0AEC0E295C9ED3DBE75B5D547,30361,9,11,2,109.50347,18.24,1508
235622,B164B8C0AEC0E295C9ED3DBE75B5D547,30084,12,14,2,109.50118,18.26972,1513
235623,B164B8C0AEC0E295C9ED3DBE75B5D547,60291,16,17,1,109.50826,18.24639,1509
235624,B164B8C0AEC0E295C9ED3DBE75B5D547,30151,18,19,1,109.50986,18.25083,1560
235681,5264833F0013AE6B294396000613EF89,31351,12,13,1,109.4959,18.28417,1465
235682,5264833F0013AE6B294396000613EF89,31041,15,16,1,109.50278,18.23701,1507
235683,5264833F0013AE6B294396000613EF89,31041,18,19,1,109.50278,18.23701,1507
235687,54EA5A03224802DD904B7C6F69D9E71B,31471,15,16,1,109.34583,18.29563,917
235688,54EA5A03224802DD904B7C6F69D9E71B,38951,21,23,2,109.48097,18.28868,1416
235700,993300654839821E7CBC0B1D6C1A4599,61011,2,21,19,109.60653,18.19076,1900
235713,2F440A235E684ECEDD042B3100A4AE95,31071,6,7,1,109.58257,18.28458,1815
235714,2F440A235E684ECEDD042B3100A4AE95,31561,12,14,2,109.56792,18.28479,1765
235717,0402BD114B7D5E20705E302B756CD062,31071,0,6,6,109.58257,18.28458,1815
235718,0402BD114B7D5E20705E302B756CD062,30854,9,11,2,109.56889,18.27076,1763
235719,0402BD114B7D5E20705E302B756CD062,60631,12,13,1,109.57778,18.27583,1814
235720,0402BD114B7D5E20705E302B756CD062,30854,14,15,1,109.56889,18.27076,1763
235721,0402BD114B7D5E20705E302B756CD062,31071,16,18,2,109.58257,18.28458,1815
235722,0402BD114B7D5E20705E302B756CD062,30854,19,21,2,109.56889,18.27076,1763
235748,5EBEA276FCB4A19AC5C987F5C7CC8908,60552,1,3,2,109.41729,18.30014,1218
